"id","profileName","text","date","title","rating","images","helpful","Colour","Size name"
"R34MXHTAD092D4","Yash raj","This macbook light weight, battery capacity is quite good ,upto 13 hrs. Software are running smoothly.  Web cam is quality is good. Screen quality is good.","Reviewed in India on 11 November 2022","Thin laptop",5,"https://m.media-amazon.com/images/I/71XpLvcblDL.jpg
https://m.media-amazon.com/images/I/71ZQN34qZIL.jpg
https://m.media-amazon.com/images/I/71a5E1iocAL.jpg
https://m.media-amazon.com/images/I/71he57KK1zL.jpg
https://m.media-amazon.com/images/I/71rjHsDaaKL.jpg",0,"Space Grey","256 GB"
"R3FHHYKO2GCSDT","Ashish Malik","Nice product by Apple","Reviewed in India on 24 November 2022","Fabulous",5,"",0,"Silver","256 GB"
"R2P5KEXJJVIL3T","Dheeraj Kumar Singh","Mac user since last 7 yrs and this is too relevant even in 2022","Reviewed in India on 27 November 2022","Pricewise best laptop money can buy",5,"",0,"Silver","256 GB"
"R32P9N2D50VKAP","Kumar Gourab Pattanaik","It is so faster than windows laptop. And download and upload are just a click away. I was using Windows now became a macbook user and i am fully satisfied with Macbook Air M1.It's a total different machine for Windows Users but it is faster and secure than Windows.. Just Go For It.....","Reviewed in India on 3 November 2022","Its like ... You own a Beast... Superb Machine",5,"https://m.media-amazon.com/images/I/81fTymJP32L.jpg
https://m.media-amazon.com/images/I/81zOFbJvHIL.jpg","2","Gold","256 GB"
"R1TAEKD1UR3B4X","Vaibhav","M1 chip is simply amazing.I use Final cut Pro (for Video editing) and it glides through 4k footage(that too with multiple layers of 4k footage).Super satisfied ... and that too at  Rs.78,990(in sale with card discounts)Huge value-for-money product.","Reviewed in India on 31 October 2022","Simply mind blowing",5,"",1,"Space Grey","256 GB"
"R1KDGQAZV09ABF","Pranab Roy","Value Buy from Amazon","Reviewed in India on 22 November 2022","Excellent",5,"",0,"Gold","256 GB"
"R283URSY694HQW","Placeholder","Loved every bit of this gorgeous laptop. The screen, sound quality, touch, and keypad are amazing.","Reviewed in India on 30 September 2022","MacBook: Loved It!!!",4,"",1,"Space Grey","256 GB"
"R2UITNZ3BWY5Q9","mkdiee","Superb Product!With this macbook i have fully become a member of the apple Ecosystem.Happy about it.Thanks Amazon♥️","Reviewed in India on 25 October 2022","Go for it blindly !",5,"",0,"Space Grey","256 GB"
"R3U4QSAN2H05HX","aditya"," Liked the product","Reviewed in India on 27 October 2022","Nice",4,"",1,"Space Grey","256 GB"
"R1TAWSLUVPOT73","Akshay","The battery backup is just awesome as it easily lasts me for more than a day with non-stop browsing and surfing the internet and use of google chrome.","Reviewed in India on 13 October 2022","The best Laptop for Productivity.",5,"https://m.media-amazon.com/images/I/71z60gpXgUL.jpg",0,"Space Grey","256 GB"
"R2CDVE3L5UN23F","gousia shah","Nothing can beat apple . rose cold colour is awesome, so me . it is so so sleek and perfect . goes with my personality","Reviewed in India on 20 October 2022","just wow",5,"","2","Gold","256 GB"
"R2PZ6ZDUYIPBQN","Anubhav Nautiyal","This is my first Macbook. I needed a personal laptop with the following requirements -1. It should have long battery life. I should spend less time being anxious about battery and more time actually focusing on doing some work with it for long hours. This device makes you forget worrying about battery.2. It should wake up quickly/instantly from sleep, like how a tablet feels always ready to use. Imagine a situation when a question pops up in your mind that you've been encountering for long and thought of bookmarking it or letting it's tab sit on your open browser session, in such moments a mere 5-10 sec wake time will make you hesitant to reach your laptop, specially if ideas keep springing in your head multiple times a day. With Macbook, you open the lid and you're productive already!3. It should be fast while multitasking and switching tabs.I was initially skeptical with the 8 GB RAM thing, having experienced how quickly 16 GB fills up in windows with multiple browser windows and tabs open. Still decided to give it a shot, and man this thing doesn't disappoint.But it's not all perfect. There are multiple issues I faced -1. Using an external 2K 24-inch display delivers pathetic experience. The  rendered text is unpleasant to read and the icons sent are not retina versions, they look bad. Having been spoilt by the excellent ClearType on Windows and noticing minute visual details by habit, I have a very bothersome time everytime I wake it up. Dear Apple, please provide subpixel rendering or a ClearType equivalent, it's much needed. Though at present, there are some software workarounds that could help to an extent by rendering retina visuals on non-retina displays, for eg. BetterDummy (supports M1).2. The mouse pointer is annoyingly jittery. My setup goes like this - Lenovo Q24h-10 connected via USB-C to MBA, one USB port of the monitor's USB hub connected to Lenovo 300 FHD webcam, the other USB port (with support for USB BC spec) connected to an ORICO 4-port USB 3 powered hub (the external power is not connected though), and the wireless dongle of Dell KM636 connected to the hub. The setup works like a charm with Windows on a Dell Latitude, even with Samsung Dex, but somehow with the Mac, the mouse cursor is very jumpy and the experience is annoying to the point that it's unusable. Things are better if the dongle is connected directly to the other USB C port of the Mac though, via an adapter. They are also somewhat better after enabling some option related to power on the monitor's OSD, and using MOS software on Mac, but the jumpiness is still present.Rating it 5 stars for what it's designed to do.","Reviewed in India on 9 January 2022","Bittersweet experience",5,"","7","Silver","256 GB"
"R9TDJ0MZMXKDP","Raja.n","Thanks to Amazon for quick and safe delivery 🙏This is my first MacBook from apple, the screen quality is good as I expectedThe sound quality is amazing, with a  real Dolby and surround sound from the speakers. 👌The trackpad is quite interesting, I have never seen a such trackpad on any other laptop, 👍Overall it is good to buy, go for it without hesitation.👍","Reviewed in India on 27 September 2022","Excellent product from Apple",5,"https://m.media-amazon.com/images/I/61PuFlp9TUL.jpg
https://m.media-amazon.com/images/I/71A87wdjC0L.jpg
https://m.media-amazon.com/images/I/71Ipz0cuaaL.jpg
https://m.media-amazon.com/images/I/71l-4ExtdXL.jpg","5","Space Grey","256 GB"
"R2VFV94PSA6P00","Yusuf","It's awesome.","Reviewed in India on 31 October 2022","Undoubtedly awesome",5,"",0,"Space Grey","256 GB"
"R182AZAKVNM04U","Arpit Bairathi","Best laptop till date and unbeatable desgin and specs in today moder world as well . Anywhere you can see its the best and no.1 choice laptop still and yes it desrves it as the name says macbook is macbook .. apple products does true to their desgin n specs.  Loved the ui and user experience of apple product especially macbook is totally different from any other product","Reviewed in India on 30 September 2022","Apple products are unbeatable",5,"","8","Gold","256 GB"
"RK2QHIRUU7H3X","Amazon Customer","I upgraded from a 2017 Acer Aspire Intel i3 Laptop (256GB SSD + 1TB + 8GB). And after the first day of usage, my mind is blown. Yes, I paid a hefty amount for the Air (Rs 76K with an exchange, Amazon took my old laptop for Rs 8800).Display: 13.3 inches may feel small initially for those shifting from 15.6 or bigger screen sizes. Honestly, I'm already used to it in a day. Unlike my Acer, the screen is brilliant. Great viewing angles, crisp and the brightness is adaptive. I don't have to keep adjusting brightness levels all the time, the sensor takes care of it. Speakers are excellent for this form factor, they even have a very mild base.Performance: It's off the charts. This M1 chip has 5nm transistor spacing making the laptop incredibly efficient. Plus it comes with 8 cores so multi-tasking is a breeze. I have about 10 chrome tabs, and 5 other windows open and it provided over 12 hours of battery life. Performance is flawless, it doesn't lag, no stutters, not even a hint of retard while navigating through apps.Keyboard and trackpad: Trackpad is large. You can adjust levels of trackpad sensitiveness to your touch. A nice feature to have. The clicks are very satisfying as well. The keyboard is backlit, and the key travel is perfect. Takes absolutely zero effort to get used to the keyboard and trackpad.OS: The laptop comes with Big Sur OS and right from the get-go you get the option to upgrade to Monterey which took about 20 minutes on my 50gbps internet speed.Lastly, Amazon delivery was good this time. I had ordered a Lenovo 2 months ago and Amazon took 10 days to tell me that the product was damaged in transit. However, this time, Amazon delivered my Macbook Air in 1.5 days.Update: The charger gets very hot and I can feel a very mild current (almost like a vibration) on the flap when the laptop is plugged in. This happened on my Acer also. Anybody else facing with this?","Reviewed in India on 23 April 2022","Pocket rocket this Laptop is",5,"","6","Silver","256 GB"
"RYV3AW5UP82MY","abhishek","It's a very laptop 💻 but here are some of my observations.Screen: The screen is realy amazing movies watching and whatever task you do like reading PDFs, browsing images etc. It's a pleasant experience to eyes .Battery: Although they claim for 15-16 hours of battery life but in real time usage this has been a lot less than the claimed.On the first initial days I was getting about 8-9 hours of battery life which I guess is still good in this price range .i thought there is any manufacturing defect in my air's battery hardware. But the screen brightness and the task you're performing plays important role in deciding battery life of the laptop.On less than 50% brightness and very light task I was able to get around 12 hours of battery backup and I'm happy with that .Performance : I'm an engineering student and do a lot of development work . So if you're into development you can blindly purchase it . The productivity it provides is justifiable to its price .Keyboard and Trackpad: This is probably the best trackpad in the laptops not comparing it with pro macbooks but better than almost all windows laptops. However the keyboard can be considered a very good keyboard but not the best . But it gives you a satisfactory feeling of typing.Verdict: It's been a month of using this laptop and I'm very satisfied . Will update this review after 2 months.","Reviewed in India on 15 May 2022","If you're a student go for it .",4,"https://m.media-amazon.com/images/I/51Qaf3tAGRL.jpg
https://m.media-amazon.com/images/I/71sEcKXJ60L.jpg
https://m.media-amazon.com/images/I/71wt2jbM9EL.jpg","21","Gold","256 GB"
"R1FXJEKZVTJS7S","Amazon Customer","Good quality","Reviewed in India on 24 October 2022","Good Value for money",5,"",1,"Gold","512GB"
"R2XB55SQYFTAFU","Naveed Qazi","Love the laptop. Excellent overall features.","Reviewed in India on 23 October 2022","Beautiful",5,"",1,"Silver","256 GB"
"RKWMGB76F3TCJ","Ben","I had fears about getting a laptop with passive cooling, even though I don't do video editing or compile big programs on the Air, even for web development and writing small scripts a fanless laptop seemed like a bad idea but after using this I can this thing is totally fine and wonderfulDocker works fine some issues do come up but for simple development of C++, Python apps along with Postgres SQL docker with some configurations the M1 chip has so far caused no issues.I run vscode, pycharm the project is not too huge but with safari or chrome running with 6-8 tabs this wonder does not heat up or cause any instability.The display is the best I have used so far, the speakers are far better than equivalent windows laptopsSome Cons:1) No simple keyboard shortcut to control keyboard backlighting,2) As a long-term windows user, the shortcuts like arrow key + Win key to resize apps/stack apps is something I truly miss, Mac does have its own multitasking/split screen way but I prefer windows installing a third party for this seems unnecessary3) Battery life on 12.4 is a bit less than when I got the MacBook Air4) Switching to Mac shortcuts takes a bit of time5) Need to buy a type C Dongle, as I work of ethernet port mostly","Reviewed in India on 9 July 2022","Longterm review Fanless Wonder",5,"","11","Space Grey","256 GB"
"R1BOYWM8KHQUNP","Bhuvnesh pratap singh","This laptop is not having SMC options as we have in Intel- Macbook.","Reviewed in India on 9 October 2022","No SMC, PRAM reset. Trackpad and keyboard not working after 1 year of use.",5,"","2","Silver","256 GB"
"R1QO0ELUPUPBRV","aayush","There is no dislike in apple product","Reviewed in India on 10 October 2022","No doubt awesome product",5,"",0,"Gold","512GB"
"R6K66U5Y72G4Q","Bhanu","This is the device that got me into Apple ecosystem, and this is a piece of peak engineering and worth every rupee I spent.No fans means the inside is completely isolated from the outside so no dust inside.Speakers and display are top notch. You can go for Mi Notebook with similar screen resolution but this one does not cause eye strain.Trackpad is one of the best I used.Battery life is unreal.Not for gaming though. If you are using it for just media consumption and some general programming then you will not feel it getting hot ever.Considering the price difference between M1 and M2 models, this is a better choice if you do not want to spend nearly 50% more on M2 Air.","Reviewed in India on 22 July 2022","Unreal",5,"","7","Space Grey","256 GB"
"R3AZKNPZR8GFNS","Shantam",,"Reviewed in India on 4 October 2022","It’s amazing",5,"https://m.media-amazon.com/images/I/611mpc2EZvL.jpg",1,"Space Grey","256 GB"
"R2XRGC3KRX4UV9","RG","Dont waste time reading reviews, Go for it .Its superb!!","Reviewed in India on 6 October 2022","Nothing Good then M1 macbook",5,"","3",,
"RV03C52BT2R3","Avinash Kumar","If you are looking for a personal computer for normal work. This is the machine for you. Amazing battery life and speakers. Still holds perfect compared to other computers in segment.","Reviewed in India on 9 September 2022","Best buy for normal work",5,"",1,"Gold","512GB"
"RD9ATQWITQ0V9","Artistic Brain","I have been using the Macbook 13,3 inches for almost a year now. It works extremely fast and is very smooth, the keys are great to type on. Though it has a good software and mostly good hardware, the camera quality is horrible. Its very blocky and the pixels are extremely visible. For the price, you can maybe get a better windows laptop but I have been a hardcore apple fan.Overall, I give it a 4.5 out of 5, it runs extremely smoothly even with multiple windows,tabs,apps etc open. My favourite part is the constant updates that apple provides that always upgrade the features and exemplify the user experience! I hope this helps =D.","Reviewed in India on 20 May 2022","Apple is at it again!",4,"","3","Gold","256 GB"
"R2LPGQJGQRKUUX","Anurag","Buying apple laptop is an investment for me. If you have money then please go for it. It will give you great productivity. Battery life is awesome.Do not buy it for watching YouTube and movies (ignore this if you are parents rich).","Reviewed in India on 13 September 2022","It's an investment.",5,"","18","Space Grey","256 GB"
"RH0VINE4ACNNY","Athul","I faced a small issue related to the new macbook air I bought from Amazon. I was considering whether to request for replacement or not and I called Amazon customer care. What surprised me, was the response from Amazon customer care. They said if there is any issue with Apple products bought from Amazon, you need to first present it to the Apple store within the replacement period, i.e. 7 days. Apple store should give a certificate telling that there is an issue with the product. Amazon will consider replacement only in this case.I asked them why is this not mentioned on the page promising 7 day replacement, to which they said that not all clauses can be mentioned in the Amazon website!! So, even if the screen is broken or for any other serious issues with laptop, you need to take an appointment and go to Apple store and get their approval for replacement.So, the 7 day replacement guarantee does not mean much for Apple products bought from Amazon. Better avoid buying apple products from Amazon.","Reviewed in India on 13 August 2022","Never Buy Apple Products from Amazon!",3,"","18","Gold","512GB"
"R1BJ5U2E9K52U3","Harmeet","Its been a month of using the macbook air and here is my honest review:- great battery backup. Can easily do work like video editing, gaming for 6-7 hours- great speaker quality- great screen and display- loved the fit and finish overall as it Apple","Reviewed in India on 27 July 2022","Super machine, amazing performance",5,"",1,"Gold","256 GB"
"R2C3GRR71NHDB2","ashish","Should i buy the 16gb ram from apple store? This was the question i had for a long time. After going through tons of videos that compares 8gb air vs 16gb there was a clear evidence that with my use i can still be happy with the m1 8gb ram variant.This is not a long term review but i shall update the review after few months of usage.Why i opted for 8gb ram?My use is browsing some secure pages, maybe watch some videos too. Use imovies to edit small videos (not heavy 4k long videos as such) but i have seen that this can support even editing 4k videos. But then definitely if you are someone who use it majorly for editing 4k videos then you should probably get the 16gb variant. Then i do a little bit of coding too.I do have a office laptop that is a 16gb ram intel one. I did try opening some youtube 4k vids in chrome and compared it side by side and initial impression is pretty good on how the m1 takes on the load. But I should wait for more to get the actual picture.So, if you are light user with basic use and not into gaming or anything. This laptop is gonna be more than enough for your use. As its very much portable and light weight. The battery is also heavily optimised. ( i tried all these and i am yet to do my initial charging 😊).I shall update my review after 3-6 months for a better comparison.***update after 10 months *****No regrets! This is super fast engine. I do a lot of coding now with this. I feel every software works like a charm in M1 now. Of course we have the updated processor now. This is a start of a super powerful engine","Reviewed in India on 19 January 2021","M1 8gb vs 16gb confusion?",5,"https://images-na.ssl-images-amazon.com/images/I/B1WqbnEWmAS.jpg","146","Space Grey","256 GB"
"R1ZD8SZKZ0TCIT","Srinivasa","Honest review!If you ever dream a laptop with fastest ever in terms of speed while opening the screen, no lag, Quality (picture and sound) the performance, Highly top Notch! I will never ever buy Windows laptop at all. Apple is just out of the world!","Reviewed in India on 31 July 2022","No one can beat Apple",5,"","2","Space Grey","256 GB"
"R20HR0IC4REWB1","Kamal Gupta,  New Delhi","I got a golden one. It is rose gold and not truly gold in colour but its looks are mesmerising. The performance is cool. The only drawback is that there are only two type c ports. If one is used for charging and the other is used to connect the mouse then virtually you are left with no other port for a pen drive or printer. There is space where they could have given more ports.What I liked the most was the reduced bezels and scissors on the keyboard due to which the size of the laptop got reduced without compromising the 13.3-inch screen size.  The screen is good, speed is fast, and beauty has increased, however, some may miss the glowing apple logo which has been replaced with a metal Apple logo. Speaker is crisp loud and clear.I like it","Reviewed in India on 18 May 2022","Wonderful laptop",5,"",0,"Gold","256 GB"
"R3OIDT1FKASN4S","Sparsh","M1 is phenomenal in terms of performance and efficiency. It just works without any hiccups. Battery life is excellent. Easily a two day laptop with light to moderate use. If you are in the Apple ecosystem, go for it with eyes closed.Moreover, almost all apps have a universal binary now which targets ARM architecture specifically (instead of x86), which basically means more performance in all of these apps. So if you used this laptop more than a year ago and found bugs with the software, be rest assured that the bugs are no more and macOS is very stable now on this machine.","Reviewed in India on 5 June 2022","Exceptional Laptop for the price",5,"",0,"Space Grey","256 GB"
"R5S0S854YKD7Y","Anirban M.","Probably the best productivity gadget in this price segment (so called pro phones cost more than this). Has great display, one of the best speaker, super portability and bunch of useful, yet free Apple softwares. For personal use this is just appropriate. Though it has 8 GBs of RAM; I tried GarageBand with my MiDi keyboard, multiple HD video editing in iMovie and it worked almost perfectly. And the best part is wake up feature. No matter how many days after I open the lid, the screen wakes up for action just instantly. Truely this feature is amazing.P.S. Amazon did not accept my old laptop for exchange, despite it being in working condition; saying the battery backup needs to be at least 1 hour. My old laptop was an HCL one, that they agreed on. And HCL stopped production 4 years ago. How can you ask for 1 hour of backup from such a laptop ... 🤣","Reviewed in India on 12 May 2022","Best for casual personal use",5,"https://m.media-amazon.com/images/I/61WaWp+YvKL.jpg
https://m.media-amazon.com/images/I/71RMRU2Nq9L.jpg","5","Silver","256 GB"
"R20GM4CF9RO9UI","k v.","value based buying improved performance compared to old macbooks","Reviewed in India on 9 September 2022","super product operating system very speed comparing to old macbooks, battery backup very good",5,"","4","Space Grey","256 GB"
"R2Z0N2AJGLDU3V","Shikha Sharma","Awesome products. Unbelievably fast and responsive. It would take a day or two to get accustomed if you are moving from windows to mac.","Reviewed in India on 23 August 2022","Wonderful product. Just go for it",5,"","3","Space Grey","256 GB"
"R34RWMP3JB78DS","ANUPAM MITTAL","Box received unsealed, Charging adapter and charging cable is missing from the box.","Reviewed in India on 27 September 2022","Missing accessories",3,"",1,"Space Grey","256 GB"
"R39O9H3WCB5CHC","Ravi","What to say about the MacBook. The name is enough in itself. The laptop battery life is astounding. It remains super cool in winters as it has aluminium body.What we expect more from apple is an inbuilt MS office for MacBook","Reviewed in India on 5 August 2022","Amazing product and lightening speed.",5,"","3","Space Grey","256 GB"
"RX95N5IDFORGQ","sachin tc","Battery backup is great, overall performance is also good.","Reviewed in India on 3 July 2022","Good performance",4,"",0,"Space Grey","256 GB"
"R24YZQKLR7YCOJ","Rituparna Paul","It is worth investing in MAC because it gives whole new experience of using a laptop.","Reviewed in India on 18 August 2022","Worth investing!",5,"",0,"Space Grey","256 GB"
"R36UV7O5WYJS20","Nitesh","I was a bit hesitant to switch from Windows to Mac, however, the transition has been seamless. The user interface and software optimization is excellent. Absolutely loved it!!!","Reviewed in India on 7 August 2022","Amazing product",5,"","3","Space Grey","256 GB"
"R23EN6GUM03275","Krishna","Apple Macbook M1 2020 edition is an excellent piece of hardware bundle but the software platform is not suitable for many of the applications which work only on Windows PC. If and if only Apple sells its Macbooks for Windows operating system, it would be really a 10 STAR device.Pros:* Excellent SOC (System on chip) which is beyond any comparison. Intel and AMD have been left milesbeyond. Their processors are antiquated & far short in performance.* The processor does not generate any heat - which indicates the cool operation and also low powerconsumption. There is no cooling fan in the laptop. The entire unit is sealed as there is no heat venting.* Battery lasts very loooong, even for HQ 16 K video playback.* Display is very realistic with true colours.* Sound quality is great. Channel separation is so good, you feel theatre like effect with soundscoming from all directions, far and near.Cons:* Very poor or no scope for expanding the RAM and storage size.* Software is expensive.* Additional compatible peripherals are mighty expensive.* Such pricey laptops come with only 1 year warranty.* Other than 2 C type ports and a earphone jack nothing else is present. One C port is engaged forpower supply. Thus one has inflexibility of having to do with only one H.Speed ""C"" type USB port.* Windows users switching to Apple are cautioned. Compatibility, storage space, expandability areseverely constrained.Finally, like the PC's which can take MS Windows OS and also other OS platforms, Apple range of MacBooks should also be compatible universally for all platforms, with hardware expandability options like PCs.with any Operating systems.","Reviewed in India on 25 June 2021","APPLE M1 2020 IS A GOOD LAPTOP AS A HARDWARE PIECE, BUT SOFTWARE PLATFORM SUCKS.",4,"","4","Space Grey","256 GB"
"R8VM0VRVN66FH","pratik","The m1 macbook is really fast","Reviewed in India on 29 August 2022","Awesome macbook",5,"","2","Gold","512GB"
"R2UEJ091PM5RBM","Dibyamohan  panda","Such a Great Purchase After a long time waiting, Really Value for many Product.","Reviewed in India on 14 August 2022","Absolutely Beast For Programmers",5,"https://m.media-amazon.com/images/I/51jCoVwHGAL.jpg",1,"Gold","512GB"
"R1TPX7R5N242J7","Anu","Good computer, but the weight and booting time are more than expected.","Reviewed in India on 14 July 2022","Good one",4,"",1,"Gold","256 GB"
"R7O4VKMOHXJZX","Shubhajit Das","Nice","Reviewed in India on 24 August 2022","Good job amazon",5,"",0,"Gold","256 GB"
"R3GSXPB9JFTYWX","SUDIPTA PAIK","Excellent quality laptop except camera quality.","Reviewed in India on 19 August 2022","Very good without camera",5,"",1,"Silver","256 GB"
"R1Q5YIB2ZII7QF","Akbar","Battery life (15hrs) is like nothing I have seen before but this is only if u run native apps or the ones optimised otherwise it will drain quickly but still manage to give you around 10 hrs. Screen and audio  is ek number. Number of ports is a bummer though. M lovin it...","Reviewed in India on 7 June 2022","An engineering Marvel !!!",5,"",0,"Space Grey","256 GB"
"R1Q47S106QIHJY","AshishT","Hi, I have been an apple user- still have an old 2011 model. Then i switched back to dell for around 4 years. It's all good and smooth with Dell. And very recently I thought let me buy myself an Air. I like that its super sleek and somehow grey color is one of my favourites. So no surprizes the laptop comes in a nice packaging, (thanks to amazon for there on time and easy delivery). The only con of apple air is that its pricey but yes (if you are like me-you will realise its soon that in a long run, how this becomes such an important part of your life, its much more cheaper in value)Super Pro's1. M1 processors are highly efficient in processing. Also thanks to SSD2. Battery life is crazy- last for 15-16 hours easily3. Look and Design (there's not much to say- its very obvious)- Super classy, sleek and very light weight.Con's1. No consIt's the best version of any Macbooks till date.To be honest, I do multiple things- I design, I edit videos, I code, and I browse. Everything is good. I wish I could have ordered a bigger storage one though which was a bit expensive for me. So I treated myself with a very handy Seagate SSD 500 GB and I use it on the fly. Something extra to carry but I still LOVE it.Also, to let you know that- this is one of my first review that's written so throughly. So understand the excitement and satisfaction level of this product.WISH YOU LUCK! Now go and Buy. :)","Reviewed in India on 5 June 2021","Very reliable and worth of each penny spent",5,"https://images-na.ssl-images-amazon.com/images/I/71Q0GpaLbnL.jpg
https://images-na.ssl-images-amazon.com/images/I/71bmKi0bptL.jpg","34","Space Grey","256 GB"
"R2RKVQZ32RTHL0","RISHAB GHOSH","Insanely powerful and starkly, very efficient too. Easily lasts a week after full charging. The M1 is a beast and handles everything smoothly. The finish, feel and look is top notch premium just as you expect from Apple products. The display is gorgeous crisp and has a high contrast, the sound quality is excellent too.  Its really the best laptop not just at this price point but even above. This is a machine you should buy if you are looking for a laptop at this price range. Apple just makes beautiful powerful machines and this one is just on another level. The M1 chip is a revolution. Yes there’s a learning curve when you switch from Windows to Macintosh but nothing which can’t be learnt. Unless you are really bent on using Windows only, this is the laptop to go for.","Reviewed in India on 21 March 2022","The best laptop out there, Macbook air m1",5,"https://m.media-amazon.com/images/I/717WTse6LoL.jpg
https://m.media-amazon.com/images/I/71M-GYM4WZL.jpg
https://m.media-amazon.com/images/I/71xpl-e0fjL.jpg","2","Space Grey","256 GB"
"R3HJIQWQN0UE69","Venkat","Close your eyes and buy this MacBook Air rose gold and the colour is simply outstanding","Reviewed in India on 2 August 2022","No words",5,"","2","Gold","512GB"
"R3IYT50ZN7G1J1","Dharmender Meena","Everything is good","Reviewed in India on 12 August 2022","Perfect one",5,"",1,,
"R30RHEXB9X07EF","Vijay Mahajan","Don’t us it for gaming","Reviewed in India on 9 June 2022","A sleek nice laptop",4,"",0,,
"RH4MNL19CEIM7","Pacific","It’s working nicely and smoothly (like butter) right now. Been using it for 6 months now.Big pros: Smoothness, 👌🏻 aesthetics, fantastic integration with my cellphone & other ecosystem devices e.g. Airpods, sound free/fan free (literally) cool operationBig cons: Price (not sure if its VFM in India for such a pricey cost unless it runs smoothly for minimum of 5-6 years), Camera quality, low space given, low RAM & its feature of swapping onto SSD ROM which will wear/fail it out sooner.Above Average: Battery, Screen quality, sound.Below Average: Battery- if you use non-Apple apps like Chrome on it much, Lack of I/O ports is frustrating, the tight ecosystem which stifles flexibility and options for the user.Overall, it’s fine till now. I remember I started having issue with my previous machine (Dell) within a year (charging cable/battery/screen) and then it repeated every 3 years; so I have long term to go before finally giving my verdict for this M1 Macbook.","Reviewed in India on 15 January 2022","Nice purchase",5,"","5","Gold","256 GB"
